Index,Aggregation_Mode,Lower_pixel,Upper_pixel
1,32,0,7
2,21,8,463
6,20,464,495
8,19,496,543
10,18,544,575
12,17,576,647
13,16,648,719
14,15,720,791
15,14,792,871
16,13,872,927
17,12,928,1007
18,11,1008,1071
19,10,1072,1135
20,9,1136,1199
21,8,1200,1263
22,7,1264,1327
23,6,1328,1399
24,5,1400,1479
25,4,1480,1551
27,3,1552,1639
29,2,1640,1711
31,1,1712,2079
35,2,2080,2151
37,3,2152,2239
39,4,2240,2311
31,5,2312,2391
42,6,2392,2463
43,7,2464,2527
44,8,2528,2591
45,9,2592,2655
46,10,2656,2719
47,11,2720,2783
48,12,2784,2863
49,13,2864,2919
50,14,2920,2999
51,15,3000,3071
52,16,3072,3143
53,17,3144,3215
54,18,3216,3247
56,19,3248,3295
58,20,3296,3327
60,21,3328,4063
