Sat_type,YMD,Start_time,End_time,id,Degree,Coeff,null
SVDNB_npp_d20220101_t1227373_e1229015_b52751_c20220101135919815350_oeac_ops.h5,20220101,t1227373,e1229015,b52751_c20220101135919815350,3,4.8062e-08; -0.00021814; 0.30308;,0
SVDNB_npp_d20220101_t1229027_e1230269_b52751_c20220101135930247739_oeac_ops.h5,20220101,t1229027,e1230269,b52751_c20220101135930247739,3,5.8685e-08; -0.0002357; 0.30977;,0
SVDNB_npp_d20220102_t1208417_e1210059_b52765_c20220102133735333026_oeac_ops.h5,20220102,t1208417,e1210059,b52765_c20220102133735333026,3,5.594e-08; -0.00023469; 0.30619;,0
SVDNB_npp_d20220102_t1210071_e1211313_b52765_c20220102133738574499_oeac_ops.h5,20220102,t1210071,e1211313,b52765_c20220102133738574499,3,6.3429e-08; -0.0002482; 0.31435;,0
SVDNB_npp_d20220103_t1149461_e1151103_b52779_c20220103131859786079_oeac_ops.h5,20220103,t1149461,e1151103,b52779_c20220103131859786079,3,8.082e-08; -0.00027091; 0.32371;,0
SVDNB_npp_d20220103_t1151115_e1152357_b52779_c20220103131905249495_oeac_ops.h5,20220103,t1151115,e1152357,b52779_c20220103131905249495,3,5.6771e-08; -0.00023519; 0.30811;,0
SVDNB_npp_d20220130_t1322003_e1323245_b53163_c20220130145235164800_oecc_ops.h5,20220130,t1322003,e1323245,b53163_c20220130145235164800,3,9.5939e-08; -0.00028578; 0.33462;,0
SVDNB_npp_d20220130_t1323257_e1324499_b53163_c20220130145238616947_oecc_ops.h5,20220130,t1323257,e1324499,b53163_c20220130145238616947,3,9.1928e-08; -0.00028699; 0.33176;,0
SVDNB_npp_d20220131_t1124553_e1126195_b53176_c20220131125310571942_oecc_ops.h5,20220131,t1124553,e1126195,b53176_c20220131125310571942,3,5.1885e-08; -0.00022382; 0.30689;,0
SVDNB_npp_d20220131_t1304301_e1305543_b53177_c20220131143329630254_oecc_ops.h5,20220131,t1304301,e1305543,b53177_c20220131143329630254,3,5.459e-08; -0.00022999; 0.3039;,0
SVDNB_npp_d20220201_t1106014_e1107256_b53190_c20220201123406097449_oecc_ops.h5,20220201,t1106014,e1107256,b53190_c20220201123406097449,3,0; 0; 0;,0
