Sat_type,YMD,Start_time,End_time,id,Degree,Coeff,null
SNPP,20140129,t1328337,e1334141,b11693_c20140129193413892210,3,6.2025e-08; -0.00021824; 0.31121;,0
SNPP,20140129,t1328337,e1334141,b11693_c20140129193413892210,3,6.2025e-08; -0.00021824; 0.31121;,0
SNPP,20140129,t1328337,e1334141,b11693_c20140129193413892210,3,6.2025e-08; -0.00021824; 0.31121;,0
SNPP,20140129,t1328337,e1334141,b11693_c20140129193413892210,3,6.2025e-08; -0.00021824; 0.31121;,0
SNPP,20140129,t1328337,e1334141,b11693_c20140129193413892210,3,6.2025e-08; -0.00021824; 0.31121;,0
SNPP,20140129,t1328337,e1334141,b11693_c20140129193413892210,3,6.2025e-08; -0.00021824; 0.31121;,0
SNPP,20140129,t1328337,e1334141,b11693_c20140129193413892210,3,6.2025e-08; -0.00021824; 0.31121;,0
SNPP,20140129,t1328337,e1334141,b11693_c20140129193413892210,5,-7.6881e-16; -6.0511e-11; 2.6862e-07; -0.0004301; 0.35738;,0
SNPP,20140129,t1328337,e1334141,b11693_c20140129193413892210,5,-7.6881e-16; -6.0511e-11; 2.6862e-07; -0.0004301; 0.35738;,0
SNPP,20140129,t1328337,e1334141,b11693_c20140129193413892210,5,-7.6881e-16; -6.0511e-11; 2.6862e-07; -0.0004301; 0.35738;,0
SNPP,20140129,t1328337,e1334141,b11693_c20140129193413892210,3,6.2025e-08; -0.00021824; 0.31121;,0
SNPP,20140129,t1328337,e1334141,b11693_c20140129193413892210,4,-1.117e-10; 3.4666e-07; -0.00047544; 0.36354;,0
J01,20210209,t1157061,e1158306,b16729_c20210209122546283013,4,-6.0067e-11; 1.9537e-07; -0.00029067; 0.20349;,0
J01,20210209,t1157061,e1158306,b16729_c20210209122546283013,3,4.8397e-08; -0.00013791; 0.15187;,0
SNPP,20140129,t1328337,e1334141,b11693_c20140129193413892210,6,4.6987e-17; -2.1139e-13; 3.9618e-10; -1.9563e-07; -0.00024124; 0.33906;,0
J01,20210209,t1157061,e1158306,b16729_c20210209122546283013,4,-6.0067e-11; 1.9537e-07; -0.00029067; 0.20349;,0
SNPP,20140102,t1334282,e1340086,b11310_c20140102194009281274,3,1.4681e-07; -0.00030882; 0.34369;,0
SNPP,20140102,t1334282,e1340086,b11310_c20140102194009281274,3,1.4681e-07; -0.00030882; 0.34369;,0
SNPP,20140102,t1334282,e1340086,b11310_c20140102194009281274,3,1.4681e-07; -0.00030882; 0.34369;,0
SNPP,20140102,t1334282,e1340086,b11310_c20140102194009281274,3,1.4681e-07; -0.00030882; 0.34369;,0
SNPP,20220430,t1334313,e1335555,b54440_c20220430150901529459,4,-5.777e-11; 2.2051e-07; -0.00043941; 0.45922;,0
SNPP,20140102,t1334282,e1340086,b11310_c20140102194009281274,3,1.4681e-07; -0.00030882; 0.34369;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.1148e-07; -0.00057138; 0.63312;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.1148e-07; -0.00057138; 0.63312;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.1148e-07; -0.00057138; 0.63312;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.1148e-07; -0.00057138; 0.63312;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20200124,t1200380,e1202004,b42706_c20200124132957601527,3,0; 0; 0;,0
SNPP,20200124,t1200380,e1202004,b42706_c20200124132957601527,3,0; 0; 0;,0
SNPP,20200124,t1200380,e1202004,b42706_c20200124132957601527,3,0; 0; 0;,0
SNPP,20200124,t1200380,e1202004,b42706_c20200124132957601527,3,0; 0; 0;,0
SNPP,20200124,t1200380,e1202004,b42706_c20200124132957601527,3,0; 0; 0;,0
SNPP,20200124,t1200380,e1202004,b42706_c20200124132957601527,3,0; 0; 0;,0
SNPP,20200124,t1200380,e1202004,b42706_c20200124132957601527,3,0; 0; 0;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20200123,t1220573,e1222214,b42692_c20200123134840777276,3,1.7193e-08; -0.00016721; 0.29052;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20200123,t1220573,e1222214,b42692_c20200123134840777276,3,1.7193e-08; -0.00016721; 0.29052;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20200123,t1219318,e1220560,b42692_c20200123134834865592,3,1.4586e-08; -0.00015113; 0.27386;,0
SNPP,20140101,t1215145,e1220549,b11295_c20140101182055342789,3,8.7505e-08; -0.00022732; 0.2773; ,0
