Sat_type,YMD,Start_time,End_time,id,Degree,Coeff,null
SVDNB_npp_d20220706_t1238402_e1240044_b55390_c20220706140741504706_oeac_ops.h5,20220706,t1238402,e1240044,b55390_c20220706140741504706,3,8.7725e-08; -0.00032783; 0.41534;,0
SVDNB_npp_d20220706_t1240056_e1241298_b55390_c20220706140753827721_oeac_ops.h5,20220706,t1240056,e1241298,b55390_c20220706140753827721,3,4.4204e-08; -0.00025236; 0.40996;,0
SVDNB_npp_d20220707_t1219463_e1221105_b55404_c20220707134834313872_oeac_ops.h5,20220707,t1219463,e1221105,b55404_c20220707134834313872,3,9.8085e-08; -0.00033824; 0.41609;,0
SVDNB_npp_d20220708_t1028229_e1029471_b55417_c20220708114853669027_oeac_ops.h5,20220708,t1028229,e1029471,b55417_c20220708114853669027,3,3.9552e-08; -0.00019662; 0.29122;,0
SVDNB_npp_d20220708_t1028229_e1029471_b55417_c20220708114853669027_oeac_ops.h5,20220708,t1028229,e1029471,b55417_c20220708114853669027,3,5.7201e-08; -0.00022496; 0.30321;,0
SVDNB_npp_d20220708_t1200507_e1202149_b55418_c20220708132945470556_oeac_ops.h5,20220708,t1200507,e1202149,b55418_c20220708132945470556,3,8.0912e-08; -0.00030136; 0.39485;,0
SVDNB_npp_d20220708_t1202161_e1203403_b55418_c20220708132944470399_oeac_ops.h5,20220708,t1202161,e1203403,b55418_c20220708132944470399,3,7.1154e-08; -0.00029324; 0.42585;,0
SVDNB_npp_d20220708_t1202161_e1203403_b55418_c20220708132944470399_oeac_ops.h5,20220708,t1202161,e1203403,b55418_c20220708132944470399,3,7.1154e-08; -0.00029324; 0.42585;,0
SVDNB_npp_d20220708_t1202161_e1203403_b55418_c20220708132944470399_oeac_ops.h5,20220708,t1202161,e1203403,b55418_c20220708132944470399,3,7.1154e-08; -0.00029324; 0.42585;,0
SVDNB_npp_d20220708_t1202161_e1203403_b55418_c20220708132944470399_oeac_ops.h5,20220708,t1202161,e1203403,b55418_c20220708132944470399,3,7.1154e-08; -0.00029324; 0.42585;,0
SVDNB_npp_d20220708_t1202161_e1203403_b55418_c20220708132944470399_oeac_ops.h5,20220708,t1202161,e1203403,b55418_c20220708132944470399,3,7.1154e-08; -0.00029324; 0.42585;,0
SVDNB_npp_d20220708_t1202161_e1203403_b55418_c20220708132944470399_oeac_ops.h5,20220708,t1202161,e1203403,b55418_c20220708132944470399,3,7.1154e-08; -0.00029324; 0.42585;,0
SVDNB_npp_d20220708_t1202161_e1203403_b55418_c20220708132944470399_oeac_ops.h5,20220708,t1202161,e1203403,b55418_c20220708132944470399,3,7.1154e-08; -0.00029324; 0.42585;,0
SVDNB_npp_d20220708_t1202161_e1203403_b55418_c20220708132944470399_oeac_ops.h5,20220708,t1202161,e1203403,b55418_c20220708132944470399,3,7.1154e-08; -0.00029324; 0.42585;,0
SVDNB_npp_d20220708_t1202161_e1203403_b55418_c20220708132944470399_oeac_ops.h5,20220708,t1202161,e1203403,b55418_c20220708132944470399,3,7.1154e-08; -0.00029324; 0.42585;,0
SVDNB_npp_d20220708_t1202161_e1203403_b55418_c20220708132944470399_oeac_ops.h5,20220708,t1202161,e1203403,b55418_c20220708132944470399,3,7.1154e-08; -0.00029324; 0.42585;,0
SVDNB_npp_d20220708_t1202161_e1203403_b55418_c20220708132944470399_oeac_ops.h5,20220708,t1202161,e1203403,b55418_c20220708132944470399,3,7.1154e-08; -0.00029324; 0.42585; ,0
