"gid","gname","gring"
1376697,"j01_d20200204_t1113134_e1114362_b11465","0103000020E61000000100000007000000A583F57F0EE063C0EB1C03B2D76B2C40AAB706B64A2462C082FDD7B969BB2840C47762D68B7260C07D5D86FF74EF23401D03B2D7BB9B60C046BB65E2B152144050C763062A4862C0A54FABE80FBD1D40ABECBB22F8FC63C035289A07B0882240A583F57F0EE063C0EB1C03B2D76B2C40"
1376697,"j01_d20200204_t1113134_e1114362_b11465","0103000020E610000001000000070000005DC47762D6E563C0304AD05FE8552C40C2172653050762C0CAE1934E247028409CC420B0728C5FC0452E3883BF97214088855AD3BCDF5FC09BB3999E0B6610400F971C774A2B62C0F65CA626C12B1D40EE08A7052F0264C0850662D9CCB122405DC47762D6E563C0304AD05FE8552C40"
1376697,"j01_d20200204_t1113134_e1114362_b11465","0103000020E610000001000000070000000DAB7823F3DF63C040C23060C9692C4036AB3E575B2462C0E4BA29E5B5BA28404D840D4FAF7260C09A0645F300EE2340A6F27684D39B60C01A434AFD06571440EA043411364862C0FCE1E7BF07BF1D40B0389CF9D5FC63C0C364AA60548A22400DAB7823F3DF63C040C23060C9692C40"
1378410,"j01_d20200204_t1114374_e1116019_b11465","0103000020E61000000100000007000000FF21FDF675FC63C0145CACA8C1C422405F5E807D744862C03102CF62CEB81D40087250C24C9B60C073A2B83E07C91440E5F21FD26FC160C0CDCEA2772AE0C83F3FC6DCB5846C62C0BFC63F7D152A0340841266DAFE1C64C049DBF813956D1140FF21FDF675FC63C0145CACA8C1C42240"
1378410,"j01_d20200204_t1114374_e1116019_b11465","0103000020E61000000100000007000000DCD78173460264C0C2120F289BB22240A323B9FC872B62C089473D9F5C261D40C8940F41D5DE5FC0A87922E3ACAB1040B0726891ED1460C00589EDEE01FAE4BFF224E99AC94F62C08BFF965BB50602406891ED7C3F2264C0AA5C4D43F9BF1140DCD78173460264C0C2120F289BB22240"
1378410,"j01_d20200204_t1114374_e1116019_b11465","0103000020E61000000100000007000000A4C2D84290FC63C0B5C189E8D7C622407FF62345644862C049D9226937BA1D40613255302A9B60C085F3041D08CC144027C286A757C160C0335659E38557C83F3FA9F6E9786C62C0468776042626034019E76F42211D64C0212235ED626A1140A4C2D84290FC63C0B5C189E8D7C62240"
1374525,"j01_d20200204_t1116032_e1117277_b11465","0103000020E610000001000000070000002FC03E3A752264C03508180225C21140DC4603780B5062C005B353BD46FC0140C0046EDDCD1460C0872448DF83BBE2BF48DC63E9433560C03E25E7C41EBA15C03468E89FE07362C0F38D8DE5024C06C08F368E588B4564C035E4867C233CDDBF2FC03E3A752264C03508180225C21140"
1374525,"j01_d20200204_t1116032_e1117277_b11465","0103000020E61000000100000007000000664E97C5C41C64C01BD3B8DC05E71140B4024356B76C62C055206926CE200340BED9E6C6F4C060C02510A77ACFD4D33F780B24287EE360C043AA285E65DD12C06458C51B999062C0C48256BB812D05C0FC1D8A027D4064C00DF8A177CF66E1BF664E97C5C41C64C01BD3B8DC05E71140"
1374525,"j01_d20200204_t1116032_e1117277_b11465","0103000020E61000000100000007000000910F7A36AB1C64C09A5B21ACC6E211401D2098A3C76C62C02D4FD65EFA1D034095B7239C16C160C0C18BBE8234A3D33F18096D3997E360C095D74AE82ED912C0FF959526A59062C08CC28943912905C043739D465A4064C082284EA4EA4DE1BF910F7A36AB1C64C09A5B21ACC6E21140"
1381108,"j01_d20200204_t1117289_e1118534_b11465","0103000020E6100000010000000700000029965B5A0D4064C07C5C9F626A05DBBF50FC1873D79062C0194630C4A03205C0417DCB9C2EE360C0D5B727A3256212C0E1EEACDD760261C0E99AC937DB4423C052B81E85EBB462C0E00ED4298FBE1EC0A7B393C1516764C03ECDC98B4CB015C029965B5A0D4064C07C5C9F626A05DBBF"
